Sub_Dept,Work_Date,Shift_Name,Dock_Name,Door_Name,BOL_Number,Live_Load,Hot_Load,Drive_Off,No_Appointment,Appointment_ID,Appointment_Time,Gate_In_Time,Receiver_Check_In_Time,Received_Time,Docked_Time,Work_Start_Time,Work_End_Time,Total_Time_In_Minutes,Driver_Called_Time,Bills_To_Driver_Time,Gate_Out_Time,Total_Load_Delay_Min,Trailer_Type_Name,Carrier_Name,Trailer_Number,Main_PO_Number,Main_Vendor_Name,Main_Vendor_Number,Main_Product_Name,Load_Type_Name,Bill_Code_Name,Unload_Type_Name,Bill_Rate_Name,Total_Case_Count,Total_Pallet_White_In_Count,Total_Pallet_Chep_In_Count,Total_Pallet_Peco_In_Count,Total_Pallet_IGps_In_Count,Total_Totes_In_Count,Total_Pallet_In_Count,Total_Pallet_Finished_Count,Total_Pallet_Created_Count,Total_Item_Count,Total_Tray_Count,Total_Layer_Count,Total_PO_Weight,Total_Cube,Service_Hours,Adjustment_Amount,Adjustment_Reason,Total_Load_Cost,Total_Payment,Cash_Amount,Check_Amount,Relay_Amount,Auto_Pay_Amount,Capstone_Pay_Amount,Fleet_Friend_Amount,Convenience_Fee,Handling_Fee,Check_Number,Credit_Amount,Credit_Auth_Number,Debit_Amount,Debit_Auth_Number,Total_COD_Amount,BillTo_Amount,Receipt_Number,Receipt_Printed,Override_User_Name,Override_Time,Override_Reason,Created_Device_ID,Created_By,Created_Date,Modified_Device_ID,Modified_By,Modified_Date
27,02/04/2025,,PERISHABLE,231P,,1,0,0,0,5663203,02/04/2025 09:00,,,02/04/2025 10:09,,02/04/2025 10:28,02/04/2025 10:39,11,,02/04/2025 12:32,,0,,PGS TRANSPORT,V5448,10056696,RUBY ROBINSON COMPANY,60452,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK160_30027,1248,14,0,0,0,0,14,26,12,0,0,0,30004,0,0,50,Static-Negotiated Rate,300,300,0,0,0,0,300,0,10,0,,0,,0,,0,0,e40f3a00-da9e-40a7-87fd-b2ce7b3c1c2b,1,,,,2924,april.parlier,02/04/2025 10:38,0,april.parlier,02/04/2025 12:32
27,02/04/2025,,PERISHABLE,242B,,0,0,0,0,5658133,02/05/2025 12:00,,,02/04/2025 10:08,,02/04/2025 10:49,02/04/2025 12:20,91,,,01/01/1970 00:00,0,,BOTTOMLEY ENTERPRISES INC,BOT589,40069031,TROPICANA PRODUCT SALES INC,20433,,Logistics,27RMDICON,BRK DOWN,LOGCODEBBRK61_30027,1755,19,0,0,0,0,19,21,2,0,0,0,41132,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,5f0f49ea-1db3-40b7-910d-2449156266aa,0,,,,2924,april.parlier,02/04/2025 10:54,0,april.parlier,02/04/2025 12:30
27,02/04/2025,,DRY,401D,,1,0,0,0,5657798,02/04/2025 11:00,,,02/04/2025 09:55,,02/04/2025 09:56,02/04/2025 11:30,94,,,,0,,MABE TRUCKING CO INC,23729,40068654,TOPCO/REYNOLDS PRESTO PRODUCTS,70005,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK160_30027,1894,32,0,0,0,0,32,39,7,0,0,0,19948,0,0,,,225,225,0,0,225,0,0,0,10,0,,0,,0,,0,0,5d39c14a-e3a8-40ae-bdad-c1641d27e291,1,,,,2924,73558,02/04/2025 09:56,0,73558,02/04/2025 10:48
27,02/04/2025,,PERISHABLE,B06,,0,0,0,0,5615642,02/04/2025 15:00,,,02/04/2025 09:50,,02/04/2025 09:52,02/04/2025 10:46,54,,,,0,,LEONARDS EXPRESS INC,LDE4155,10055698,TOPCO,0,,Logistics,27RMDICON,ROLL OFF,LOGCODEAROFF25_30027,960,20,0,0,0,0,20,20,0,0,0,0,39592,0,0,,,25,25,0,0,0,0,0,0,0,0,,0,,0,,0,25,56e94bab-b7d2-4971-bda8-059c7624d1e3,0,,,,2924,april.parlier,02/04/2025 09:54,0,april.parlier,02/04/2025 10:47
27,02/04/2025,,PERISHABLE,232P,,0,0,0,0,5637062,02/05/2025 20:00,,,02/04/2025 09:39,,02/04/2025 10:11,02/04/2025 10:28,17,,,,0,,MDI BACKHAUL,3T1360,40068508,WHITE WAVE INC.,70479,,BKHL,27RMDIBKH,ROLL OFF,LOGCODEAROFF25_30027,720,9,0,0,0,0,9,9,0,0,0,0,20430,0,0,,,25,25,0,0,0,0,0,0,0,0,,0,,0,,0,25,c71ce0dd-96f4-4486-afe7-36a5ae9c8a63,0,,,,2924,april.parlier,02/04/2025 10:23,0,april.parlier,02/04/2025 10:29
27,02/04/2025,,FROZEN,131F,,0,0,0,0,5648150,02/04/2025 10:00,,,02/04/2025 09:25,,02/04/2025 09:44,02/04/2025 12:38,174,,,,0,,MDI BACKHAUL,3T1463,302153,SWAGGERTY SAUSAGE CO. INC.,10294,,BKHL,27RMDIBKH,BRK DOWN,LOGCODECBRK92_30027,2390,49,0,0,0,0,49,46,3,0,0,0,36931,0,0,,,92.5,92.5,0,0,0,0,0,0,0,0,,0,,0,,0,92.5,4695a402-10a4-4584-8849-9a2b31321ce9,0,,,,2924,april.parlier,02/04/2025 09:53,0,april.parlier,02/04/2025 12:39
27,02/04/2025,,PERISHABLE,229P,,0,0,0,0,5669746,02/04/2025 03:00,,,02/04/2025 09:24,,02/04/2025 09:28,02/04/2025 10:30,62,,,,0,,MDI BACKHAUL,3T1495,10056633,FRESH EXPRESS,0,,BKHL,27RMDIBKH,BRK DOWN,LOGCODEBBRK61_30027,2301,21,0,0,0,0,21,39,18,0,0,0,16550,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,de4463f7-a2b8-407f-8e03-1f24211be008,0,,,,2924,april.parlier,02/04/2025 09:34,0,april.parlier,02/04/2025 10:46
27,02/04/2025,1ST,DRY,414,,1,1,0,0,5669382,02/04/2025 10:00,,,02/04/2025 09:21,,02/04/2025 10:23,02/04/2025 10:44,21,,02/04/2025 10:36,,0,,ARRIVE LOGISTICS AKA DM TRANS,V5610,40069229,HARVEST HILL BEVERAGE COMPANY,70198,,Logistics,27RMDICON,ROLL OFF,LOGCODEAROFF25_30027,1245,21,0,0,0,0,21,21,0,0,0,0,42937,0,0,,,25,25,0,0,0,0,0,0,0,0,,0,,0,,0,25,b139cc3e-85ba-4263-8bf2-b3878652407a,0,,,,2924,159622,02/04/2025 09:23,0,159622,02/04/2025 10:36
27,02/04/2025,1ST,DRY,413,,0,1,0,0,5667527,02/04/2025 08:00,,,02/04/2025 09:19,,02/04/2025 09:56,02/04/2025 10:19,23,,,,0,,MDI BACKHAUL,3T1352,40068404,SUNNY DELIGHT BEVERAGE CO.,70821,,BKHL,27RMDIBKH,ROLL OFF,LOGCODEAROFF25_30027,20,20,0,0,0,0,20,20,0,0,0,0,19900,0,0,,,25,25,0,0,0,0,0,0,0,0,,0,,0,,0,25,de153bfc-0673-40ee-9256-0932e1fe1244,0,,,,2924,159622,02/04/2025 09:24,0,73558,02/04/2025 12:21
27,02/04/2025,1ST,DRY,411D,,0,1,0,0,5668717,02/04/2025 00:00,,,02/04/2025 09:18,,02/04/2025 09:45,02/04/2025 10:17,32,,,,0,,MDI BACKHAUL,3CB7275,40069522,BUSH BROTHERS AND COMPANY,10641,,BKHL,27RMDIBKH,BRK DOWN,LOGCODEBBRK61_30027,2058,19,0,0,0,0,19,22,3,0,0,0,41909,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,44b688b5-8ba7-4223-b4fa-86322683d01b,0,,,,2924,159622,02/04/2025 09:26,0,73558,02/04/2025 12:18
